Transaction_ID,Customer_ID,Transaction_Date,Category,Product,Quantity,Unit_Price,Discount_Pct,Gross_Amount,Discount_Amount,Net_Amount,Payment_Mode,Channel,Region
TXN000130,CUST0533,2023-09-21,Fashion,T-Shirt,2,1621.2,10.0,3242.4,324.24,2918.16,Net Banking,In-Store,Central
TXN000131,CUST0775,2024-08-02,Beauty,Shampoo,3,663.52,5.0,1990.56,99.53,1891.03,Debit Card,Online,South
TXN000132,CUST0519,2024-06-01,Home & Kitchen,LED Lamp,3,2544.31,0.0,7632.93,0.0,7632.93,UPI,In-Store,Central
TXN000133,CUST0499,2024-09-04,Sports,Football,1,186.4,0.0,186.4,0.0,186.4,Net Banking,Online,West
TXN000134,CUST0051,2024-07-23,Electronics,Smartwatch,3,1434.42,5.0,4303.26,215.16,4088.1,Cash on Delivery,Online,East
TXN000135,CUST0325,2024-07-14,Beauty,Face Wash,5,346.74,10.0,1733.7,173.37,1560.33,Credit Card,In-Store,East
TXN000136,CUST0360,2024-07-22,Sports,Cricket Bat,4,2602.27,0.0,10409.08,520.45,9888.63,UPI,Online,East
TXN000137,CUST0576,2024-01-23,Fashion,Sneakers,1,2463.6,20.0,2463.6,492.72,1970.88,UPI,In-Store,West
TXN000138,CUST0122,2024-04-16,Groceries,Snacks Pack,5,560.75,10.0,2803.75,280.38,2523.37,Net Banking,In-Store,East
TXN000139,CUST0070,2024-04-24,Sports,Cricket Bat,4,1697.78,0.0,6791.12,0.0,6791.12,UPI,Online,South
TXN000140,CUST0695,2023-09-21,Sports,Cricket Bat,1,1749.8,0.0,1749.8,0.0,1749.8,UPI,In-Store,Central
TXN000141,CUST0229,2023-04-04,Sports,Water Bottle,1,2419.19,20.0,2419.19,483.84,1935.35,UPI,In-Store,West
TXN000142,CUST0026,2024-10-21,Groceries,Snacks Pack,1,408.34,0.0,408.34,0.0,408.34,Debit Card,Online,Central
TXN000143,CUST0519,2023-09-14,Fashion,Jeans,4,1233.26,0.0,4933.04,0.0,4933.04,Debit Card,Online,Central
TXN000144,CUST0413,2024-12-10,Home & Kitchen,Mixer Grinder,3,2820.91,20.0,8462.73,1692.55,6770.18,Net Banking,In-Store,East
TXN000145,CUST0523,2024-01-05,Beauty,Perfume,5,805.57,0.0,4027.85,0.0,4027.85,Credit Card,In-Store,East
TXN000146,CUST0732,2023-10-22,Electronics,Bluetooth Speaker,1,3254.12,25.0,3254.12,813.53,2440.59,Debit Card,Online,South
TXN000147,CUST0131,2024-12-10,Beauty,Moisturizer,3,1075.68,0.0,3227.04,0.0,3227.04,Cash on Delivery,Online,West
TXN000148,CUST0119,2024-08-07,Electronics,USB Cable,3,2588.29,5.0,7764.87,388.24,7376.63,Net Banking,Online,North
TXN000149,CUST0151,2023-03-31,Fashion,Cap,5,727.52,25.0,3637.6,909.4,2728.2,Cash on Delivery,Online,Central
TXN000150,CUST0262,2024-12-23,Electronics,Bluetooth Speaker,1,843.71,10.0,843.71,84.37,759.34,Cash on Delivery,Online,West
TXN000151,CUST0708,2023-09-11,Home & Kitchen,Curtains,3,1208.73,20.0,3626.19,725.24,2900.95,Debit Card,Online,South
TXN000152,CUST0274,2024-11-16,Fashion,Jacket,3,1090.87,25.0,3272.61,818.15,2454.46,Cash on Delivery,Online,Central
TXN000153,CUST0162,2024-03-05,Groceries,Rice 5kg,1,194.78,0.0,194.78,0.0,194.78,Credit Card,Online,Central
TXN000154,CUST0620,2024-12-27,Groceries,Tea 250g,2,541.69,15.0,1083.38,162.51,920.87,Net Banking,Online,North
TXN000155,CUST0706,2024-07-18,Groceries,Snacks Pack,5,55.83,0.0,279.15,0.0,279.15,Cash on Delivery,Online,East
TXN000156,CUST0404,2024-12-29,Fashion,Cap,2,1750.71,25.0,3501.42,875.36,2626.06,Debit Card,Online,South
TXN000157,CUST0247,2024-10-23,Fashion,T-Shirt,1,1439.35,15.0,1439.35,215.9,1223.45,Credit Card,In-Store,South
TXN000158,CUST0653,2023-07-12,Home & Kitchen,Storage Box,5,2357.13,10.0,11785.65,1178.57,10607.08,Net Banking,Online,Central
TXN000159,CUST0462,2024-05-30,Home & Kitchen,LED Lamp,1,2193.9,10.0,2193.9,219.39,1974.51,Debit Card,Online,East
TXN000160,CUST0179,2024-11-24,Home & Kitchen,Storage Box,4,960.14,25.0,3840.56,960.14,2880.42,Debit Card,Online,Central
TXN000161,CUST0532,2024-11-21,Beauty,Face Wash,2,248.2,0.0,496.4,0.0,496.4,Debit Card,In-Store,East
TXN000162,CUST0725,2024-02-16,Groceries,Tea 250g,1,413.96,5.0,413.96,20.7,393.26,Net Banking,In-Store,South
TXN000163,CUST0679,2024-06-22,Fashion,Jeans,3,1621.85,0.0,4865.55,0.0,4865.55,UPI,In-Store,East
TXN000164,CUST0504,2024-12-21,Electronics,Smartwatch,2,1823.74,0.0,3647.48,0.0,3647.48,Debit Card,In-Store,Central
TXN000165,CUST0711,2024-05-11,Groceries,Rice 5kg,5,412.67,0.0,2063.35,0.0,2063.35,Net Banking,In-Store,West
TXN000166,CUST0337,2024-01-23,Electronics,USB Cable,5,2001.35,0.0,10006.75,0.0,10006.75,Net Banking,Online,South
TXN000167,CUST0242,2024-08-29,Fashion,T-Shirt,5,2228.89,0.0,11144.45,0.0,11144.45,Cash on Delivery,Online,South
TXN000168,CUST0346,2024-07-16,Fashion,Sneakers,5,534.48,15.0,2672.4,400.86,2271.54,Cash on Delivery,In-Store,North
TXN000169,CUST0797,2024-10-24,Beauty,Shampoo,3,507.23,15.0,1521.69,228.25,1293.44,Net Banking,Online,South
TXN000170,CUST0674,2024-07-02,Sports,Yoga Mat,3,1291.6,0.0,3874.8,0.0,3874.8,Debit Card,In-Store,Central
TXN000171,CUST0768,2024-10-17,Electronics,Headphones,5,3381.39,0.0,16906.95,0.0,16906.95,Net Banking,In-Store,South
TXN000172,CUST0514,2024-08-29,Groceries,Snacks Pack,2,402.16,10.0,804.32,80.43,723.89,Debit Card,Online,North
TXN000173,CUST0582,2024-06-20,Groceries,Detergent,1,410.26,10.0,410.26,41.03,369.23,Net Banking,In-Store,West
TXN000174,CUST0532,2024-04-16,Beauty,Moisturizer,5,1111.1,15.0,5555.5,833.33,4722.17,UPI,In-Store,East
TXN000175,CUST0218,2024-12-02,Fashion,Jacket,3,1564.79,15.0,4694.37,704.16,3990.21,Unknown,In-Store,Central
TXN000176,CUST0685,2024-07-13,Groceries,Snacks Pack,4,466.61,25.0,1866.44,466.61,1399.83,Cash on Delivery,Online,Central
TXN000177,CUST0439,2023-05-31,Home & Kitchen,Mixer Grinder,3,927.26,0.0,2781.78,0.0,2781.78,UPI,Online,Central
TXN000178,CUST0261,2024-07-26,Beauty,Perfume,2,488.89,25.0,977.78,244.44,733.34,Debit Card,Online,East
TXN000179,CUST0536,2024-07-25,Home & Kitchen,Cookware Set,1,2959.9,25.0,2959.9,739.98,2219.92,Cash on Delivery,Online,South
TXN000180,CUST0569,2024-12-07,Groceries,Rice 5kg,3,534.54,25.0,1603.62,400.9,1202.72,Debit Card,In-Store,West
TXN000181,CUST0367,2024-08-18,Groceries,Cooking Oil 1L,2,326.36,25.0,652.72,163.18,489.54,Credit Card,In-Store,West
TXN000182,CUST0277,2023-07-29,Electronics,Headphones,3,2859.36,5.0,8578.08,428.9,8149.18,UPI,In-Store,North
TXN000183,CUST0760,2023-12-21,Home & Kitchen,LED Lamp,4,1583.01,0.0,6332.04,0.0,6332.04,Cash on Delivery,Online,Central
TXN000184,CUST0786,2024-10-30,Sports,Dumbbells,2,708.78,25.0,1417.56,354.39,1063.17,Credit Card,Online,North
TXN000185,CUST0391,2024-06-25,Fashion,Cap,1,994.6,0.0,994.6,0.0,994.6,Credit Card,Online,West
TXN000186,CUST0622,2024-04-20,Beauty,Face Wash,1,716.39,20.0,716.39,143.28,573.11,Credit Card,In-Store,Central
TXN000187,CUST0679,2024-01-16,Groceries,Cooking Oil 1L,5,206.53,25.0,1032.65,258.16,774.49,Net Banking,Online,East
TXN000188,CUST0353,2024-07-26,Home & Kitchen,Curtains,5,753.0,20.0,3765.0,753.0,3012.0,Credit Card,Online,West
TXN000189,CUST0154,2024-06-13,Fashion,Sneakers,3,940.98,25.0,2822.94,705.74,2117.2,Net Banking,Online,North
TXN000190,CUST0175,2024-05-13,Electronics,Smartwatch,1,3047.2,0.0,3047.2,0.0,3047.2,Credit Card,In-Store,South
TXN000191,CUST0476,2024-05-13,Electronics,Power Bank,4,2333.94,10.0,9335.76,933.58,8402.18,Debit Card,Online,East
TXN000192,CUST0537,2023-12-11,Beauty,Shampoo,4,829.9,25.0,3319.6,829.9,2489.7,Cash on Delivery,In-Store,Central
TXN000193,CUST0476,2023-09-16,Fashion,Cap,5,1614.69,10.0,8073.45,807.35,7266.1,UPI,In-Store,East
TXN000194,CUST0474,2024-10-11,Electronics,Power Bank,2,1577.54,15.0,3155.08,473.26,2681.82,UPI,In-Store,West
TXN000195,CUST0472,2023-05-24,Sports,Football,1,808.96,15.0,808.96,121.34,687.62,Debit Card,In-Store,South
TXN000196,CUST0692,2024-12-29,Beauty,Lipstick,2,1011.27,10.0,2022.54,202.25,1820.29,UPI,In-Store,West
TXN000197,CUST0384,2024-06-06,Electronics,Smartwatch,3,978.18,0.0,2934.54,0.0,2934.54,Debit Card,Online,West
TXN000198,CUST0772,2024-05-27,Electronics,Smartwatch,1,3903.16,25.0,3903.16,975.79,2927.37,Debit Card,In-Store,North
TXN000199,CUST0391,2024-08-29,Beauty,Perfume,4,1027.9,0.0,4111.6,0.0,4111.6,Cash on Delivery,In-Store,West
TXN000200,CUST0171,2024-08-23,Home & Kitchen,Curtains,1,2734.88,5.0,2734.88,136.74,2598.14,Net Banking,Online,West
TXN000201,CUST0465,2024-09-11,Fashion,Jacket,5,2414.67,0.0,12073.35,0.0,12073.35,UPI,In-Store,Central
TXN000202,CUST0526,2023-05-26,Fashion,Sneakers,2,2200.05,10.0,4400.1,440.01,3960.09,Cash on Delivery,Online,South
TXN000203,CUST0367,2024-10-03,Fashion,T-Shirt,2,1578.37,0.0,3156.74,0.0,3156.74,Net Banking,Online,West
TXN000204,CUST0532,2024-05-02,Home & Kitchen,Mixer Grinder,5,2514.38,15.0,12571.9,1885.79,10686.11,Net Banking,Online,East
